have a fight,fight
have a fun late night talk,talk
have a garden,garden
have a good lock,lock
have a good shower,shower
have a kick,kick
have a large input,stimulate
have a limited appreciation,grasp
have a long life,live
have a look,look
have a major difference,differentiate
have a major visual impact,impact
have a miraculous escape,escape
have a nap,sleep
have a plan,plan
have a positive effect,result
have a profound effect,result
have a quiet drink,drink
have a remark,remark
have a reply,reply
have a shower,shower
have a significant impact,impact
have a sleep,sleep
have a smoke,smoke
have a suspicion,suspect
have a talk,talk
have a turn,turn
have a very good shower,shower
have a walk,walk
have a work,work
have absolute commitment,commit
have access,access
have an agreement,agree
have an argument,argue
have an enormous impact,impact
have an enquiry,question
have an immediate effect,result
have any access,access
have any effect,result
have argument,argue
have bayonet practice,practice
have break,break
have call,call
have contact,contact
have little effect,result
have no effect,result
have no intention,design
have no interest,interest
have no objection,object
have no respect,respect
have profound impact,impact
have real effect,result
have regular part time work,work
have sleep,sleep
have so much influence,influence
have some appreciation,grasp
have some influence,influence
have some success,win
have such a crucial influence,influence
have swimming,swim
have talk,talk
have telephone contact,contact
have the benefit,benefit
have the effect,result
have the imagination,imagine
have the shower,shower
have the widespread use,use
have this feeling,feel
have use,use
have work,work
make a award,award
make a bid,bid
make a brave attempt,attempt
make a break,break
make a building regulation application,apply
make a business decision,decide
make a calculated risk,peril
make a call,call
make a careful examination,examine
make a cash donation,contribute
make a certain common assumption,assume
make a change,change
make a charge,charge
make a chic choice,pick
make a choice,pick
make a claim,claim
make a clean break,break
make a clear connection,connect
make a comeback,return
make a commitment,commit
make a compensation payment,pay
make a complaint,complain
make a conceptual distinction,differentiate
make a concerted advance,advance
make a contribution,contribute
make a court appearance,appear
make a decision,decide
make a deep impression,stamp
make a definite booking,book
make a deliberately cautious assumption,assume
make a delivery,deliver
make a dense ground cover,cover
make a detailed survey,survey
make a determination,determine
make a different choice,pick
make a direct judgement,judge
make a distinctive contribution,contribute
make a donation,contribute
make a dramatic appearance,appear
make a dramatic statement,state
make a fairly precise summary statement,state
make a fairly substantial impact,impact
make a far great impact,impact
make a fly visit,visit
make a frank payment,pay
make a fresh decision,decide
make a further payment,pay
make a general enquiry,question
make a gesture,gesticulate
make a good display,exhibit
make a good recovery,recover
make a good start,start
make a grab,grab
make a great success,win
make a guess,guess
make a hasty decision,decide
make a highly leveraged hostile bid,bid
make a holiday booking,book
make a huge gesture,gesticulate
make a joint offer,offer
make a judgement,judge
make a last ditch attempt,attempt
make a link,link
make a loss,depart
make a major purchase,purchase
make a management charge,charge
make a mark,mark
make a meaningful choice,pick
make a mistake,mistake
make a money payment,pay
make a most imaginative choice,pick
make a move,move
make a movement,move
make a much great distinction,differentiate
make a new commitment,commit
make a offer,offer
make a partial recovery,recover
make a particular impact,impact
make a permanent mark,mark
make a personal appearance,appear
make a personal choice,pick
make a personal investment,invest
make a placement decision,decide
make a plan,plan
make a political choice,pick
make a poor rallying cry,cry
make a positive contribution,contribute
make a presentation,present
make a quick call,call
make a rational assessment,assess
make a recommendation,recommend
make a refresh change,change
make a remarkable recovery,recover
make a repayment,repay
make a resolution,resolve
make a return,return
make a rise,rise
make a run,run
make a safe choice,pick
make a safe exit,depart
make a search,search
make a selection,pick
make a serious bid,bid
make a show,show
make a significant contribution,contribute
make a significant development,develop
make a simple statement,state
make a single joint submission,submit
make a smooth change,change
make a smooth landing,land
make a speech,speak
make a start,start
make a statement,state
make a strong impression,stamp
make a study,study
make a substantial contribution,contribute
make a success,win
make a successful return,return
make a suggestion,suggest
make a superb start,start
make a technical distinction,differentiate
make a tenfold gain,increase
make a thorough survey,survey
make a trade,trade
make a unique personal response,reply
make a useful distinction,differentiate
make a very favourable impression,stamp
make a vindictive attack,attack
make a visit,visit
make a vow,vow
make a water mediate contact,contact
make a worthy conclusion,determine
make an accurate estimate,estimate
make an adequate statement,state
make an amazing discovery,discover
make an amusingly wicked use,use
make an announcement,announce
make an appeal,appeal
make an application,apply
make an appropriate replacement,replace
make an appropriate return,return
make an assessment,assess
make an attack,attack
make an attempt,attempt
make an electrical connection,connect
make an evaluation,rate
make an even big commitment,commit
make an explicit return,return
make an ideal introduction,insert
make an ideal replacement,replace
make an immediate impact,impact
make an immediate start,start
make an impact,impact
make an important contribution,contribute
make an important discrimination,discriminate
make an impression,stamp
make an impressive return,return
make an initial assessment,assess
make an insignificant contribution,contribute
make an instant impact,impact
make an instant resolve,resolve
make an inward scooping action,act
make an offer,offer
make an orderly withdrawal,withdraw
make an ordinary aerial challenge,challenge
make an orthodox return,return
make an overall loss,depart
make an unofficial translation,translate
make an unprecedented contractual demand,demand
make an up front payment,pay
make announcement,announce
make any capital contribution,contribute
make any comment,comment
make any commitment,commit
make any false statement,state
make any particular impression,stamp
make any promise,promise
make any public statement,state
make any statement,state
make appearance,appear
make assessment,assess
make assistance,help
make attempt,attempt
make careful enquiry,question
make choice,pick
make comeback,return
make considerable use,use
make contact,contact
make decision,decide
make delivery,deliver
make entry,enter
make escape,escape
make far great use,use
make final decision,decide
make final selection,pick
make first appearance,appear
make first big acquisition,acquire
make first competitive appearance,appear
make first contact,contact
make first team appearance,appear
make frequent reference,refer
make full reparation,repair
make good use,use
make great use,use
make individual mark,mark
make less impression,stamp
make less use,use
make little appeal,appeal
make little mention,mention
make little use,use
make maximum use,use
make most contribution,contribute
make no comment,comment
make no differentiation,differentiate
make no mention,mention
make no protest,protest
make no reference,refer
make no reply,reply
make no use,use
make own selection,pick
make particular use,use
make payment,pay
make real contact,contact
make reference,refer
make response,reply
make significant use,use
make some announcement,announce
make some appropriately sophisticated comment,comment
make some fresh agreement,agree
make some reassuring remark,remark
make some remark,remark
make some suggestion,suggest
make statement,state
make such a dramatic move,move
make such a judgement,judge
make such a revolutionary proposal,propose
make such a sacrifice,sacrifice
make such a transfer,transfer
make sufficient dramatic impact,impact
make suspension,suspend
make systematic practice,practice
make that contact,contact
make that statement,state
make the analysis,analyze
make the application,apply
make the assumption,assume
make the attempt,attempt
make the bidding,bid
make the break,break
make the call,call
make the change,change
make the comment,comment
make the control,control
make the decision,decide
make the donation,contribute
make the draw,draw
make the escape attempt,attempt
make the essential commitment,commit
make the final connection,connect
make the final selection,pick
make the good use,use
make the illegal stop,stop
make the maximum impact,impact
make the minimum assumption,assume
make the most pertinent remark,remark
make the move,move
make the necessary accommodation,accommodate
make the nerve rack approach,approach
make the obvious observation,observe
make the presentation,present
make the promise,promise
make the sacrifice,sacrifice
make the selection,pick
make the somewhat contentious statement,state
make the startling claim,claim
make the statement,state
make the study,study
make the tucking movement,move
make the ultimate sacrifice,sacrifice
make the windscreen wiper start,start
make this choice,pick
make this connection,connect
make this decision,decide
make this phone call,call
make this request,request
make this sacrifice,sacrifice
make unsettling comment,comment
make use,use
take a bath,bath
take a breath,breath
take a climb,climb
take a close look,look
take a control interest,interest
take a decision,decide
take a deep breath,breath
take a deflection,deflect
take a detached view,view
take a dive,dive
take a drink,drink
take a feeling,feel
take a firm grip,grip
take a good care,care
take a grave turn,turn
take a grip,grip
take a guess,guess
take a last look,look
take a lead,lead
take a long drink,drink
take a long look,look
take a long shower,shower
take a long term view,view
take a long view,view
take a look,look
take a nap,sleep
take a photo,photograph
take a pic,photograph
take a positive view,view
take a rational decision,decide
take a risk,peril
take a shaky breath,breath
take a shower,shower
take a single step,step
take a sip,sip
take a sleep,sleep
take a slight step,step
take a slip,slip
take a slow sip,sip
take a stage,stage
take a step,step
take a sudden renew interest,interest
take a turn,turn
take a very poor view,view
take a video,televise
take a view,view
take a vote,vote
take a walk,walk
take action,act
take aim,aim
take an assessment,assess
take an idiosyncratic view,view
take an interest,interest
take another deep breath,breath
take another sip,sip
take any consideration,consider
take any notice,observe
take any remedial action,act
take appropriate action,act
take campaign,drive
take care,care
take chance,chance
take control,control
take dance,dance
take direct action,act
take early retirement,retire
take effect,result
take exercise,exercise
take great care,care
take hold,hold
take leave,leave
take legal action,act
take much notice,observe
take no action,act
take no further action,act
take no notice,observe
take ownership,possess
take personal control,control
take pick,pick
take picture,depict
take possession,possess
take precedence,precede
take preventive action,act
take revenge,retaliate
take shape,shape
take that risk,peril
take the action,act
take the credit,credit
take the cynical view,view
take the lead,lead
take the long term view,view
take the measure,measure
take the require action,act
take the risk,peril
take the same view,view
take the smoke,smoke
take this view,view
take up employment,use
take up residence,reside
take vengeance,pay_back
take wide hold,hold
